slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price
romelu-lukaku,A,Napoli,34.0,34.0,32.0,1,7.639596936114905,6.307840570689949,16.429826282407042,4.642127376042866,0.0,120.16
lautaro-martinez,A,Inter,32.0,32.0,27.0,1,7.564577824480691,6.316918763248525,16.44035923155895,3.896546229359263,0.0,170.42000000000002
jonathan-david,A,Juventus,30.0,30.0,24.0,1,7.564577824480691,6.213427313277869,14.505622093052835,5.868071267716033,0.0,134.19
moise-kean,A,Fiorentina,32.0,32.0,27.0,0,7.588236770069463,6.368568698762736,14.04117218934745,4.620659883536356,0.0,158.915
gianluca-scamacca,A,Atalanta,28.0,28.0,18.0,0,7.286362423779173,6.448109728552119,12.46624522747119,6.374514862973458,0.0,76.92999999999999
marcus-thuram,A,Inter,29.0,29.0,24.0,1,6.993108895546145,6.212476081136899,10.90390660343362,3.0144257587801,0.0,127.83
domenico-berardi,A,Sassuolo,29.0,29.0,27.0,1,7.76137545828438,6.436368991428605,7.678259030160907,7.18436046918413,0.0,78.60499999999999
paulo-dybala,A,Roma,27.0,27.0,23.0,1,7.285234441205058,6.4143705942993225,10.310741157134713,5.470390004147344,0.0,103.035
evan-ferguson,A,Roma,25.0,25.0,20.0,0,7.5135012204784,6.364891886605669,10.702121552832011,2.4210737731744647,0.0,70.64500000000001
rafael-leao,A,Milan,30.0,30.0,24.0,1,7.444332716521058,6.598773164527925,12.806428422922446,9.521971150648232,0.0,108.13
duvan-zapata,A,Torino,28.0,28.0,26.0,1,7.285188238038599,6.333413163505884,11.117647058823527,3.067279411764705,0.0,56.2
ademola-lookman,A,Atalanta,27.0,27.0,18.0,0,7.03058907081777,6.2634664170977175,9.70851205342016,4.422648892593218,0.0,61.660000000000004
kenan-yldz,A,Juventus,30.0,30.0,26.0,0,7.025333850100547,6.475075126099788,8.392010352748853,6.1765708713157945,0.0,99.935
valentin-castellanos,A,Lazio,32.0,32.0,25.0,1,6.587132356798186,5.959359054455338,9.803778900139775,3.574803503582021,0.0,76.015
dusan-vlahovic,A,Juventus,26.0,26.0,21.0,1,7.010303631040631,6.039580016605863,9.859976007121046,1.728619259389516,0.0,43.335
santiago-gimenez,A,Milan,30.0,30.0,24.0,0,7.479585973097199,6.296530715199586,13.00658513613069,3.2478219894270905,0.0,103.50999999999999
giovanni-simeone,A,Torino,31.0,31.0,26.0,1,6.626503926665055,5.958753075522806,10.464260607797392,2.3735126926970804,0.0,30.945
riccardo-orsolini,C,Bologna,28.0,28.0,20.0,1,7.272167715708129,6.386312244050341,11.998044636561552,4.655193749901539,0.0,71.60000000000001
armand-lauriente,A,Sassuolo,30.0,30.0,27.0,1,6.90517491028743,6.35387665057176,6.924823185836708,6.480982296193787,0.0,31.490000000000002
noa-lang,A,Napoli,32.0,32.0,27.0,0,6.761818552990613,6.30127041914236,7.005672098649603,6.151785533434307,0.0,51.870000000000005
charles-de-ketelaere,A,Atalanta,32.0,32.0,23.0,1,6.757020434215939,6.2012552680672846,7.478928702030001,7.207014935262189,0.0,72.61
ciro-immobile,A,Bologna,26.0,26.0,22.0,1,7.413286267991077,6.0997845914356095,9.814452464806674,2.77671493811247,0.0,67.66
che-adams,A,Torino,33.0,33.0,25.0,1,6.380900218050573,5.823486418122457,9.48658357404348,2.8031904741995013,0.0,43.09
alvaro-morata,A,Como,24.0,24.0,18.0,0,7.049969900665727,6.1352528894071,10.803616591752562,2.637731796724309,0.0,49.22
artem-dovbyk,A,Roma,23.0,23.0,17.0,0,6.981342155427812,6.226739837980415,9.084322530483345,2.4047221598593724,0.0,68.56
mattia-zaccagni,C,Lazio,35.0,35.0,28.0,1,6.939173078957925,6.522444839169254,7.247430403496545,5.57083582503571,0.0,66.19999999999999
nico-paz,C,Como,32.0,32.0,28.0,0,7.3923076622354,6.416370141007987,8.939982146767385,7.359590480764434,0.0,46.688
christian-pulisic,C,Milan,35.0,35.0,28.0,1,7.109380397546032,6.451569543468929,9.303071518840834,6.891567495936696,0.0,66.392
kevin-de-bruyne,C,Napoli,28.0,28.0,25.0,1,7.068375466366429,6.493423750808592,4.075092163611868,8.806642973626648,0.0,51.384
roberto-piccoli,A,Cagliari,28.0,28.0,22.0,0,7.023647760009579,6.1104055270166,10.074958920315613,3.8553896629091273,0.0,43.81
scott-mctominay,C,Napoli,32.0,32.0,25.0,1,6.634113660226767,6.370189432500302,6.403367153472051,5.074447077038637,0.0,60.632000000000005
andrea-pinamonti,A,Sassuolo,29.0,29.0,24.0,1,6.378996577829224,5.951958091401187,7.833581751461965,1.2363448404700188,0.0,41.724999999999994
franco-vazquez,A,Cremonese,27.0,27.0,24.0,1,6.415725215680122,5.981589978099614,5.020234144020051,6.314173702093152,0.0,15.96
hakan-calhanoglu,C,Inter,32.0,32.0,29.0,1,6.837463541552609,6.3768165560383085,6.51243751562204,6.416843176564457,0.0,49.304
