name,slug,id
padelli,daniele-padelli,543
de silvestri,lorenzo-de-silvestri,487
darmian,matteo-darmian,2525
modric,luka-modric,2606
dzeko,edin-dzeko,647
pedro,pedro,2489
djuric,milan-uric,5471
vural,guray-vural,7150
de bruyne,kevin-de-bruyne,2517
immobile,ciro-immobile,785
el shaarawy,stephan-el-shaarawy,795
sommer,yann-sommer,2428
de roon,marten-de-roon,22
de vrij,stefan-de-vrij,322
stanciu,nicolae-stanciu,7135
mkhitaryan,henrikh-mkhitaryan,2529
matic,nemanja-matic,2528
lukaku,romelu-lukaku,2531
cuadrado,juan-cuadrado,697
vigorito,mauro-vigorito,2809
morata,alvaro-morata,313
sergi roberto,sergi-roberto,4284
kabasele,christian-kabasele,4263
perin,mattia-perin,218
leali,nicola-leali,188
acerbi,francesco-acerbi,513
di lorenzo,giovanni-di-lorenzo,2816
valoti,mattia-valoti,2274
freuler,remo-freuler,788
calhanoglu,hakan-calhanoglu,2194
milik,arkadiusz-milik,2012
skorupski,ukasz-skorupski,133
moreno alb.,alberto-moreno,5435
marì,pablo-mari,4904
vazquez,franco-vazquez,449
terracciano,pietro-terracciano,2815
caracciolo a.,antonio-caracciolo,2273
pinsoglio,carlo-pinsoglio,1930
biraghi,cristiano-biraghi,252
djimsiti,berat-djimsiti,787
kostic,filip-kostic,4711
pasalic,mario-pasalic,2077
kempf,marc-oliver-kempf,6893
kolasinac,sead-kolasinac,2640
lazaro,valentino-lazaro,4385
njie,clinton-njie,6827
romagnoli,alessio-romagnoli,460
dybala,paulo-dybala,309
zielinski,piotr-zielinski,152
berardi,domenico-berardi,531
hysaj,elseid-hysaj,140
ceccherini,federico-ceccherini,1891
pavoletti,leonardo-pavoletti,247
spinazzola,leonardo-spinazzola,1852
montipò,lorenzo-montipo,4957
silvestri,marco-silvestri,2211
bianchetti,matteo-bianchetti,612
nicolas,nicolas-andrade,2271
sabelli,stefano-sabelli,791
lykogiannis,charalampos-lykogiannis,2653
radunovic,boris-radunovic,3
siegrist,benjamin-siegrist,6991
