name,slug,ruolo,team,PMA,prezzo,ruolo_foglio
DI GREGORIO,michele-di-gregorio,P,JUV,10.2,50,P
SOMMER,yann-sommer,P,INT,10.0,46,P
MERET,alex-meret,P,NAP,8.7,42,P
SVILAR,mile-svilar,P,ROM,9.8,41,P
MAIGNAN,mike-maignan,P,MIL,9.6,40,P
CARNESECCHI,marco-carnesecchi,P,ATA,7.8,30,P
DE GEA,david-de-gea,P,FIO,7.6,27,P
PROVEDEL,ivan-provedel,P,LAZ,5.2,22,P
SKORUPSKI,ukasz-skorupski,P,BOL,4.0,17,P
BUTEZ,jean-butez,P,COM,3.3,13,P
ISRAEL,franco-israel,P,TOR,1.4,12,P
LEALI,nicola-leali,P,GEN,2.1,10,P
CAPRILE,elia-caprile,P,CAG,1.6,7,P
FALCONE,wladimiro-falcone,P,LEC,1.2,6,P
SUZUKI,zion-suzuki,P,PAR,1.0,4,P
MONTIPÒ,lorenzo-montipo,P,VER,0.4,3,P
AUDERO,emil-audero,P,CRE,0.4,1,P
MURIC,arijanet-muric,P,SAS,0.2,1,P
OKOYE,maduka-okoye,P,UDI,0.2,1,P
SEMPER,adrian-semper,P,PIS,0.2,1,P
MILINKOVIC-SAVIC V.,vanja-milinkovic-savic,P,NAP,3.2,12,P
MANDAS,christos-mandas,P,LAZ,0.6,3,P
PERIN,mattia-perin,P,JUV,0.2,2,P
RAVAGLIA F.,federico-ravaglia,P,BOL,0.2,1,P
SAVA,razvan-sava,P,UDI,0.2,1,P
TURATI,stefano-turati,P,SAS,0.4,1,P
MARTINEZ JO.,josep-martinez,P,INT,0.2,1,P
PALEARI,alberto-paleari,P,TOR,0.2,1,P
SCUFFET,simone-scuffet,P,PIS,0.2,1,P
SILVESTRI,marco-silvestri,P,CRE,0.2,1,P
CIOCCI,giuseppe-ciocci,P,CAG,0.2,1,P
CONTINI,nikita-contini-baranovsky,P,NAP,0.2,1,P
CORVI,edoardo-corvi,P,PAR,0.2,1,P
DI GENNARO,raffaele-di-gennaro,P,INT,0.2,1,P
FRUCHTL,christian-fruchtl,P,LEC,0.2,1,P
GOLLINI,pierluigi-gollini,P,ROM,0.2,1,P
MARTINELLI T.,tommaso-martinelli,P,FIO,0.2,1,P
NAVA,lapo-nava,P,CRE,0.2,1,P
PADELLI,daniele-padelli,P,UDI,0.2,1,P
PERILLI,simone-perilli,P,VER,0.2,1,P
PINSOGLIO,carlo-pinsoglio,P,JUV,0.2,1,P
ROSSI F.,francesco-rossi,P,ATA,0.2,1,P
SATALINO,giacomo-satalino,P,SAS,0.0,1,P
SIEGRIST,benjamin-siegrist,P,GEN,0.2,1,P
SOMMARIVA,daniele-sommariva,P,GEN,0.2,1,P
SPORTIELLO,marco-sportiello,P,ATA,0.2,1,P
TERRACCIANO,pietro-terracciano,P,MIL,0.2,1,P
VASQUEZ D.,devis-vasquez,P,ROM,0.2,1,P
VIGORITO,mauro-vigorito,P,COM,0.2,1,P
CAVLINA,nikola-cavlina,P,COM,0.2,0,P
LEZZERINI,luca-lezzerini,P,FIO,0.2,0,P
NICOLAS,nicolas-andrade,P,PIS,0.0,0,P
POPA,mihai-popa,P,TOR,0.2,0,P
RADUNOVIC,boris-radunovic,P,CAG,0.2,0,P
DUMFRIES,denzel-dumfries,D,INT,9.0,43,D
DIMARCO,federico-dimarco,D,INT,8.9,41,D
BASTONI,alessandro-bastoni,D,INT,7.0,29,D
GOSENS,robin-gosens,D,FIO,7.4,28,D
WESLEY,wesley,D,ROM,6.4,28,D
DODÒ,dodo,D,FIO,5.8,27,D
ANGELINO,angelino,D,ROM,6.4,26,D
TAVARES N.,nuno-tavares,D,LAZ,5.6,26,D
BREMER,gleison-bremer,D,JUV,6.8,25,D
BUONGIORNO,alessandro-buongiorno,D,NAP,5.2,25,D
BELLANOVA,raoul-bellanova,D,ATA,6.2,24,D
DI LORENZO,giovanni-di-lorenzo,D,NAP,6.4,24,D
CAMBIASO,andrea-cambiaso,D,JUV,6.6,23,D
MANCINI,gianluca-mancini,D,ROM,3.4,20,D
RRAHMANI,amir-rrahmani,D,NAP,3.6,20,D
MARTIN,aaron-martin,D,GEN,3.5,19,D
ZORTEA,nadir-zortea,D,BOL,3.8,19,D
JOAO MARIO,joao-mario,D,JUV,3.0,18,D
GATTI,federico-gatti,D,JUV,2.0,17,D
SOLET,oumar-solet,D,UDI,3.4,17,D
ESTUPINAN,pervis-estupinan,D,MIL,3.6,16,D
VALERI,emanuele-valeri,D,PAR,2.8,16,D
PAVLOVIC,strahinja-pavlovic,D,MIL,2.4,15,D
VOJVODA,mergim-vojvoda,D,COM,2.4,14,D
ZAPPACOSTA,davide-zappacosta,D,ATA,1.8,12,D
MIRANDA J.,juan-miranda,D,BOL,3.1,11,D
KALULU,pierre-kalulu,D,JUV,2.4,10,D
TOMORI,fikayo-tomori,D,MIL,1.8,10,D
ANGORI,samuele-angori,D,PIS,1.4,9,D
GILA,mario-gila,D,LAZ,1.8,9,D
ACERBI,francesco-acerbi,D,INT,1.6,8,D
GABBIA,matteo-gabbia,D,MIL,0.8,8,D
GASPAR K.,kialonda-gaspar,D,LEC,0.8,8,D
N'DICKA,obite-ndicka,D,ROM,2.0,8,D
DELPRATO,enrico-del-prato,D,PAR,1.8,7,D
RAMON,jacobo-ramon,D,COM,2.0,7,D
SCALVINI,giorgio-scalvini,D,ATA,1.4,7,D
VASQUEZ,johan-vasquez,D,GEN,1.8,7,D
HERMOSO,mario-hermoso,D,ROM,0.6,6,D
VITIK,martin-vitik,D,BOL,1.2,6,D
LUPERTO,sebastiano-luperto,D,CAG,1.2,5,D
MINA,yerry-mina,D,CAG,1.2,5,D
ROMAGNOLI,alessio-romagnoli,D,LAZ,0.6,5,D
BASCHIROTTO,federico-baschirotto,D,CRE,1.8,4,D
HIEN,isak-hien,D,ATA,2.2,4,D
PEZZELLA GIU.,giuseppe-pezzella,D,CRE,0.6,4,D
BIRAGHI,cristiano-biraghi,D,TOR,1.2,3,D
COMUZZO,pietro-comuzzo,D,FIO,1.0,3,D
NORTON-CUFFY,brooke-norton-cuffy,D,GEN,0.6,3,D
VALLE,alex-valle,D,COM,1.3,3,D
CANESTRELLI,simone-canestrelli,D,PIS,0.2,2,D
COCO,saul-coco,D,TOR,0.4,2,D
DOIG,josh-doig,D,SAS,1.4,2,D
HEGGEM,torbjorn-heggem,D,BOL,0.2,2,D
KEMPF,marc-oliver-kempf,D,COM,0.3,2,D
LOVIK,mathias-lovik,D,PAR,0.2,2,D
MARUSIC,adam-marusic,D,LAZ,0.5,2,D
OSTIGARD,leo-skiri-ostigard,D,GEN,0.2,2,D
