Nome,Squadra,R,tournament_name
Bailey,Roma,C,Serie A
Belghali,Verona,D,Serie A
Bonfanti,Atalanta,D,Serie A
Cham,Verona,D,Serie A
Coppola F.,Pisa,D,Serie A
Diouf,Inter,C,Serie A
Esteves T.,Pisa,D,Serie A
Furlanetto,Lazio,P,Serie A
Giovane,Verona,A,Serie A
Gutierrez,Napoli,D,Serie A
Liteta,Cagliari,C,Serie A
Matic,Sassuolo,C,Serie A
Mbambi,Pisa,D,Serie A
Moro L.,Sassuolo,A,Serie A
Nelsson,Verona,D,Serie A
Nicolas,Pisa,P,Serie A
Nunziante,Udinese,P,Serie A
Ordonez C.,Parma,C,Serie A
Perez M.,Lecce,D,Serie A
Pessina Mas.,Bologna,P,Serie A
Rinaldi,Parma,P,Serie A
Rowe,Bologna,C,Serie A
Russo A.,Sassuolo,P,Serie A
Sala A.,Lecce,C,Serie A
Samooja,Lecce,P,Serie A
Santiago,Verona,C,Serie A
Siebert,Lecce,D,Serie A
Sorensen O.,Parma,C,Serie A
Sulemana K.,Atalanta,A,Serie A
Torriani,Milan,P,Serie A
Troilo,Parma,D,Serie A
Vranckx,Sassuolo,C,Serie A
Zelezny,Roma,P,Serie A
