player_id,name,team_name_short,season,tournament_name,tournament_country,role,presenze,mv,fmv,gf,gs,rp,rc,assist,amm,esp,au,r_plus,r_minus,starts_eleven,min_playing_time,injured,total_duels_won_percentage,total_duels_won,possession_lost,total_shots,shots_on_target,goal_conversion_percentage,free_kick_shots,penalty_won,attempt_penalty_miss,attempt_penalty_target,shots_off_target,total_attempt_assist,pass_to_assist,big_chances_created,big_chances_create,expected_goals,scoring_frequency,hit_woodwork,successful_dribbles,successful_dribbles_percentage,touches,key_passes,accurate_passes_percentage,total_passes,accurate_passes,accurate_crosses,total_cross,accurate_final_third_passes,accurate_opposition_half_passes,accurate_chipped_passes,accurate_long_balls,accurate_long_balls_percentage,total_long_balls,total_chipped_passes,total_opposition_half_passes,total_own_half_passes,tackles,tackles_won,tackles_won_percentage,interceptions,clearances,blocked_shots,crosses_not_claimed,punches,duel_lost,aerial_duels_won,aerial_duels_won_percentage,aerial_lost,possession_won_att_third,error_lead_to_goal,error_lead_to_shot,fouls,was_fouled,penalty_conceded,penalty_conversion,offsides,saves,penalty_faced,clean_sheet,successful_runs_out,shot_from_set_piece,quotazione,fvm,inf_index,tit_index,aff_index,spesa_media_altri,last_active_year,date_of_birth,height,jersey_number,preferred_foot,country,team_id,slug,link,image
cf1c23d8,PADELLI,Liverpool,s_06_07,Premier League,ENG,P,1.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,1.0,90.0,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,0.0,,,1.0,1.0,5.0,1.0,,1.0,2025.0,1985-10-25,191.0,20.0,right,italy,af93f3fa-bdd7-4ce7-97d3-a1b6c3610381,daniele-padelli,https://fbref.com/en/players/cf1c23d8/Daniele-Padelli,https://fbref.com/req/202302030/images/headshots/cf1c23d8_2022.jpg
e74f0e59,DE SILVESTRI,Lazio,s_06_07,Serie A,ITA,D,2.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,103.0,,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,0.0,,,,,,,4.0,14.0,3.0,3.0,,1.0,2025.0,1988-05-23,186.0,,right,italy,9c39d8a4-1b88-416c-bfc1-28b5efa51558,lorenzo-de-silvestri,https://fbref.com/en/players/e74f0e59/Lorenzo-De-Silvestri,https://fbref.com/req/202302030/images/headshots/e74f0e59_2022.jpg
96e0490d,DARMIAN,Milan,s_06_07,Serie A,ITA,D,1.0,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,24.0,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,13.0,18.0,4.0,4.0,,5.0,2025.0,1989-12-02,182.0,36.0,right,italy,e0dd8e64-f0eb-4e02-8e0e-31a16aac296d,matteo-darmian,https://fbref.com/en/players/96e0490d/Matteo-Darmian,https://fbref.com/req/202302030/images/headshots/96e0490d_2022.jpg
cf1c23d8,PADELLI,Crotone,s_06_07,Serie B,ITA,P,1.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,90.0,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3.0,,0.0,,,1.0,1.0,5.0,1.0,,1.0,2025.0,1985-10-25,191.0,20.0,right,italy,af93f3fa-bdd7-4ce7-97d3-a1b6c3610381,daniele-padelli,https://fbref.com/en/players/cf1c23d8/Daniele-Padelli,https://fbref.com/req/202302030/images/headshots/cf1c23d8_2022.jpg
6025fab1,MODRIC,Dinamo Zagreb,s_07_08,1. HNL,CRO,C,25.0,,,13.0,,,4.0,11.0,1.0,0.0,,,,25.0,1973.0,,,0.0,0.0,,35.0,,,,,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,,1985-09-09,174.0,,right,croatia,,luka-modric,https://fbref.com/en/players/6025fab1/Luka-Modric,https://fbref.com/req/202302030/images/headshots/6025fab1_2022.jpg
3bb7f478,DZEKO,Wolfsburg,s_07_08,Bundesliga,GER,A,28.0,,,8.0,,,0.0,5.0,3.0,0.0,,,,17.0,1811.0,,,0.0,0.0,,29.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,44.0,,,0.0,,,,,,,,,,,,,,1986-03-17,193.0,,right,bosnia and herzegovina,,edin-dzeko,https://fbref.com/en/players/3bb7f478/Edin-Dzeko,https://fbref.com/req/202302030/images/headshots/3bb7f478_2022.jpg
3ca7254a,PEDRO,Barcelona,s_07_08,La Liga,ESP,A,2.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,19.0,,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,14.0,20.0,4.0,3.0,,1.0,2025.0,1987-07-28,167.0,,right,spain,beae150f-6f3e-47a2-b9d1-86e8533c2844,pedro,https://fbref.com/en/players/3ca7254a/Pedro,https://fbref.com/req/202302030/images/headshots/3ca7254a_2022.jpg
e74f0e59,DE SILVESTRI,Lazio,s_07_08,Serie A,ITA,D,24.0,,,0.0,,,0.0,2.0,6.0,2.0,,0.0,0.0,17.0,1570.0,,,0.0,0.0,,4.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,35.0,,,0.0,,,,,,,4.0,14.0,3.0,3.0,,1.0,2025.0,1988-05-23,186.0,,right,italy,9c39d8a4-1b88-416c-bfc1-28b5efa51558,lorenzo-de-silvestri,https://fbref.com/en/players/e74f0e59/Lorenzo-De-Silvestri,https://fbref.com/req/202302030/images/headshots/e74f0e59_2022.jpg
cf1c23d8,PADELLI,Pisa,s_07_08,Serie B,ITA,P,7.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,583.0,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,28.0,,2.0,,,1.0,1.0,5.0,1.0,,1.0,2025.0,1985-10-25,191.0,20.0,right,italy,af93f3fa-bdd7-4ce7-97d3-a1b6c3610381,daniele-padelli,https://fbref.com/en/players/cf1c23d8/Daniele-Padelli,https://fbref.com/req/202302030/images/headshots/cf1c23d8_2022.jpg
405f6586,DJURIC,Cesena,s_07_08,Serie B,ITA,A,24.0,,,2.0,,,0.0,2.0,6.0,0.0,,,,10.0,1103.0,,,0.0,0.0,,8.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,1990-05-22,199.0,,right,bosnia and herzegovina,,milan-uric,https://fbref.com/en/players/405f6586/Milan-Djuric,https://fbref.com/req/202302030/images/headshots/405f6586_2022.jpg
26b3d752,VURAL,Denizlispor,s_07_08,Süper Lig,TUR,D,15.0,,,3.0,,,0.0,1.0,0.0,0.0,,,,13.0,1017.0,,,,,,7.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1988-06-11,177.0,,left,turkey,,guray-vural,https://fbref.com/en/players/26b3d752/Guray-Vural,https://fbref.com/req/202302030/images/headshots/26b3d752_2022.jpg
3bb7f478,DZEKO,Wolfsburg,s_08_09,Bundesliga,GER,A,32.0,,,26.0,,,0.0,6.0,4.0,0.0,,,,29.0,2629.0,,,0.0,0.0,,58.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,63.0,,,0.0,,,,,,,,,,,,,,1986-03-17,193.0,,right,bosnia and herzegovina,,edin-dzeko,https://fbref.com/en/players/3bb7f478/Edin-Dzeko,https://fbref.com/req/202302030/images/headshots/3bb7f478_2022.jpg
e46012d4,DE BRUYNE,Genk,s_08_09,First Division,BEL,C,2.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,18.0,,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,1991-06-28,181.0,,right,belgium,,kevin-de-bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,https://fbref.com/req/202302030/images/headshots/e46012d4_2022.jpg
3ca7254a,PEDRO,Barcelona,s_08_09,La Liga,ESP,A,6.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,355.0,,,0.0,0.0,,2.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,5.0,,,0.0,,,,,,,14.0,20.0,4.0,3.0,,1.0,2025.0,1987-07-28,167.0,,right,spain,beae150f-6f3e-47a2-b9d1-86e8533c2844,pedro,https://fbref.com/en/players/3ca7254a/Pedro,https://fbref.com/req/202302030/images/headshots/3ca7254a_2022.jpg
