name,link,slug,player_id,team,tournament_name_new
Leon Bailey,https://fbref.com/en/players/3a233281/Leon-Bailey,leon-bailey,3a233281,Roma,Serie A
Rafik Belghali,https://fbref.com/en/players/0abcb968/Rafik-Belghali,rafik-belghali,0abcb968,Verona,Serie A
Giovanni Bonfanti,https://fbref.com/en/players/938d8a55/Giovanni-Bonfanti,giovanni-bonfanti,938d8a55,Atalanta,Serie A
Fallou Cham,https://fbref.com/en/players/aa83c24f/Fallou-Cham,fallou-cham,aa83c24f,Verona,Serie A
Francesco Coppola,https://fbref.com/en/players/387335e7/Francesco-Coppola,francesco-coppola,387335e7,Pisa,Serie A
Andy Diouf,https://fbref.com/en/players/9b5237b1/Andy-Diouf,andy-diouf,9b5237b1,Inter,Serie A
Tomás Esteves,https://fbref.com/en/players/20ffe5b9/Tomas-Esteves,tomas-esteves,20ffe5b9,Pisa,Serie A
Alessio Furlanetto,https://fbref.com/en/players/95d9f4dd/Alessio-Furlanetto,alessio-furlanetto,95d9f4dd,Lazio,Serie A
Giovane,https://fbref.com/en/players/1b567cdc/Giovane,giovane,1b567cdc,Verona,Serie A
Miguel Gutiérrez,https://fbref.com/en/players/7e98cff1/Miguel-Gutierrez,miguel-gutierrez,7e98cff1,Napoli,Serie A
Nemanja Matić,https://fbref.com/en/players/eb7822d7/Nemanja-Matic,nemanja-matic,eb7822d7,Sassuolo,Serie A
Jeremy Mbambi,https://fbref.com/en/players/1bc22065/Jeremy-Mbambi,jeremy-mbambi,1bc22065,Pisa,Serie A
Luca Moro,https://fbref.com/en/players/96281a90/Luca-Moro,luca-moro,96281a90,Sassuolo,Serie A
Victor Nelsson,https://fbref.com/en/players/e53b5534/Victor-Nelsson,victor-nelsson,e53b5534,Verona,Serie A
Nicolas,https://fbref.com/en/players/326d09ef/Nicolas-Andrade,nicolas-andrade,01bb326d09ef93d5,Pisa,Serie A
Alessandro Nunziante,https://fbref.com/en/players/12438e0a/Alessandro-Nunziante,alessandro-nunziante,12438e0a,Udinese,Serie A
Christian Ordoñez,https://fbref.com/en/players/0d94b6d9/Christian-Ordonez,christian-ordonez,0d94b6d9,Parma,Serie A
Matías Pérez,https://fbref.com/en/players/2726054a/Matias-Perez,matias-perez,2726054a,Lecce,Serie A
Massimo Pessina,https://fbref.com/en/players/085a07e8/Massimo-Pessina,massimo-pessina,085a07e8,Bologna,Serie A
Filippo Rinaldi,https://fbref.com/en/players/49124fc6/Filippo-Rinaldi,filippo-rinaldi,49124fc6,Parma,Serie A
Jon Rowe,https://fbref.com/en/players/8c12f884/Jon-Rowe,jon-rowe,8c12f884,Bologna,Serie A
Alessandro Russo,https://fbref.com/en/players/3945ac70/Alessandro-Russo,alessandro-russo,3945ac70,Sassuolo,Serie A
Marco Sala,https://fbref.com/en/players/0c57be8b/Marco-Sala,marco-sala,0c57be8b,Lecce,Serie A
Jasper Samooja,https://fbref.com/en/players/8f3f09e3/Jasper-Samooja,jasper-samooja,8f3f09e3,Lecce,Serie A
ìYellu Santiagoì,https://fbref.com/en/players/bc49fd34/Yellu-Santiago,yellu-santiago,bc49fd34,Verona,Serie A
Jamil Siebert,https://fbref.com/en/players/5967328c/Jamil-Siebert,jamil-siebert,5967328c,Lecce,Serie A
Jakob Sørensen,https://fbref.com/en/players/953c30b0/Jakob-Sorensen,jakob-sorensen,953c30b0,Parma,Serie A
Kamaldeen Sulemana,https://fbref.com/en/players/a62f8bf1/Kamaldeen-Sulemana,kamaldeen-sulemana,a62f8bf1,Atalanta,Serie A
Lorenzo Torriani,https://fbref.com/en/players/6dd75985/Lorenzo-Torriani,lorenzo-torriani,6dd75985,Milan,Serie A
Mariano Troilo,https://fbref.com/en/players/fa2c1419/Mariano-Troilo,mariano-troilo,fa2c1419,Parma,Serie A
Aster Vranckx,https://fbref.com/en/players/f86cd5df/Aster-Vranckx,aster-vranckx,f86cd5df,Sassuolo,Serie A
Radek Żelezny,https://fbref.com/en/players/d1703712/Radek-Zelezny,radek-zelezny,d1703712,Roma,Serie A
