name,link_player_page,slug,player_id,team,tournament_name_new
Dušan Vlahović,https://fbref.com/en/players/79443529/Dusan-Vlahovic,dusan-vlahovic,79443529,Juventus,Serie A
Lautaro Martínez,https://fbref.com/en/players/f7036e1c/Lautaro-Martinez,lautaro-martinez,f7036e1c,Inter,Serie A
Paulo Dybala,https://fbref.com/en/players/e0921a4f/Paulo-Dybala,paulo-dybala,e0921a4f,Roma,Serie A
Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,nicolo-barella,6928979a,Inter,Serie A
Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,kevin-de-bruyne,e46012d4,Napoli,Serie A
Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,hakan-calhanoglu,cd0fa27b,Inter,Serie A
Jonathan David,https://fbref.com/en/players/ce50fd99/Jonathan-David,jonathan-david,ce50fd99,Juventus,Serie A
Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,alessandro-bastoni,75b86fb3,Inter,Serie A
Gleison Bremer,https://fbref.com/en/players/5fd5ed86/Gleison-Bremer,gleison-bremer,5fd5ed86,Juventus,Serie A
Álvaro Morata,https://fbref.com/en/players/129af0db/Alvaro-Morata,alvaro-morata,129af0db,Como,Serie A
Piotr Zieliński,https://fbref.com/en/players/a5296e55/Piotr-Zielinski,piotr-zielinski,a5296e55,Inter,Serie A
Romelu Lukaku,https://fbref.com/en/players/5eae500a/Romelu-Lukaku,romelu-lukaku,5eae500a,Napoli,Serie A
Marcus Thuram,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram,marcus-thuram,6f8cd6d0,Inter,Serie A
Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco,federico-dimarco,970b8574,Inter,Serie A
Stefan de Vrij,https://fbref.com/en/players/d0d8dd44/Stefan-de-Vrij,stefan-de-vrij,d0d8dd44,Inter,Serie A
Ismaël Bennacer,https://fbref.com/en/players/db092d3b/Ismael-Bennacer,ismael-bennacer,db092d3b,Milan,Serie A
Maxence Caqueret,https://fbref.com/en/players/f81ef10d/Maxence-Caqueret,maxence-caqueret,f81ef10d,Como,Serie A
Gianluca Mancini,https://fbref.com/en/players/5aa53281/Gianluca-Mancini,gianluca-mancini,5aa53281,Roma,Serie A
Leon Bailey,https://fbref.com/en/players/3a233281/Leon-Bailey,leon-bailey,3a233281,Roma,Serie A
Lorenzo Pellegrini,https://fbref.com/en/players/4a5a45c7/Lorenzo-Pellegrini,lorenzo-pellegrini,4a5a45c7,Roma,Serie A
Mario Hermoso,https://fbref.com/en/players/555f3a0b/Mario-Hermoso,mario-hermoso,555f3a0b,Roma,Serie A
Luka Modrić,https://fbref.com/en/players/6025fab1/Luka-Modric,luka-modric,6025fab1,Milan,Serie A
Benjamin Pavard,https://fbref.com/en/players/45a03961/Benjamin-Pavard,benjamin-pavard,45a03961,Inter,Serie A
Rafael Leão,https://fbref.com/en/players/20730eae/Rafael-Leao,rafael-leao,20730eae,Milan,Serie A
Arthur Melo,https://fbref.com/en/players/48b3dd60/Arthur-Melo,arthur-melo,48b3dd60,Juventus,Serie A
Manuel Locatelli,https://fbref.com/en/players/a8a874f1/Manuel-Locatelli,manuel-locatelli,a8a874f1,Juventus,Serie A
Gianluca Scamacca,https://fbref.com/en/players/8790f988/Gianluca-Scamacca,gianluca-scamacca,8790f988,Atalanta,Serie A
Matteo Politano,https://fbref.com/en/players/5e861944/Matteo-Politano,matteo-politano,5e861944,Napoli,Serie A
Teun Koopmeiners,https://fbref.com/en/players/a26fb8aa/Teun-Koopmeiners,teun-koopmeiners,a26fb8aa,Juventus,Serie A
Federico Gatti,https://fbref.com/en/players/18dd3219/Federico-Gatti,federico-gatti,18dd3219,Juventus,Serie A
Dele Alli,https://fbref.com/en/players/cea4ee8f/Dele-Alli,dele-alli,cea4ee8f,Como,Serie A
David de Gea,https://fbref.com/en/players/7ba6d84e/David-de-Gea,david-de-gea,7ba6d84e,Fiorentina,Serie A
Alessio Romagnoli,https://fbref.com/en/players/3ead85f9/Alessio-Romagnoli,alessio-romagnoli,3ead85f9,Lazio,Serie A
Mattia Zaccagni,https://fbref.com/en/players/d85c238b/Mattia-Zaccagni,mattia-zaccagni,d85c238b,Lazio,Serie A
Artem Dovbyk,https://fbref.com/en/players/5b847bb0/Artem-Dovbyk,artem-dovbyk,5b847bb0,Roma,Serie A
David Neres,https://fbref.com/en/players/4f1e6a0b/David-Neres,david-neres,4f1e6a0b,Napoli,Serie A
Giovanni Di Lorenzo,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,giovanni-di-lorenzo,230a2fac,Napoli,Serie A
Scott McTominay,https://fbref.com/en/players/d93c2511/Scott-McTominay,scott-mctominay,d93c2511,Napoli,Serie A
Mehdi Taremi,https://fbref.com/en/players/4c2a5d34/Mehdi-Taremi,mehdi-taremi,4c2a5d34,Inter,Serie A
Youssouf Fofana,https://fbref.com/en/players/822d51d7/Youssouf-Fofana,youssouf-fofana,822d51d7,Milan,Serie A
Domenico Berardi,https://fbref.com/en/players/53a0e358/Domenico-Berardi,domenico-berardi,53a0e358,Sassuolo,Serie A
Elseid Hysaj,https://fbref.com/en/players/2f3452eb/Elseid-Hysaj,elseid-hysaj,2f3452eb,Lazio,Serie A
Bryan Cristante,https://fbref.com/en/players/16657b95/Bryan-Cristante,bryan-cristante,16657b95,Roma,Serie A
Manu Koné,https://fbref.com/en/players/86574238/Manu-Kone,manu-kone,86574238,Roma,Serie A
Davide Frattesi,https://fbref.com/en/players/2a7d27c1/Davide-Frattesi,davide-frattesi,2a7d27c1,Inter,Serie A
Obite N'Dicka,https://fbref.com/en/players/441197b8/Obite-NDicka,obite-ndicka,441197b8,Roma,Serie A
Denzel Dumfries,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,denzel-dumfries,481c9ece,Inter,Serie A
Christian Pulisic,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic,christian-pulisic,1bf33a9a,Milan,Serie A
Ruben Loftus-Cheek,https://fbref.com/en/players/e97fd090/Ruben-Loftus-Cheek,ruben-loftus-cheek,e97fd090,Milan,Serie A
Samuel Chukwueze,https://fbref.com/en/players/b8a642fc/Samuel-Chukwueze,samuel-chukwueze,b8a642fc,Milan,Serie A
Duván Zapata,https://fbref.com/en/players/d3de9af0/Duvan-Zapata,duvan-zapata,d3de9af0,Torino,Serie A
Henrikh Mkhitaryan,https://fbref.com/en/players/dd0daf32/Henrikh-Mkhitaryan,henrikh-mkhitaryan,dd0daf32,Inter,Serie A
Ben Godfrey,https://fbref.com/en/players/9f7c837d/Ben-Godfrey,ben-godfrey,9f7c837d,Atalanta,Serie A
Stephan El Shaarawy,https://fbref.com/en/players/d3aaad90/Stephan-El-Shaarawy,stephan-el-shaarawy,d3aaad90,Roma,Serie A
Alessandro Buongiorno,https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno,alessandro-buongiorno,4ae67f27,Napoli,Serie A
Alex Meret,https://fbref.com/en/players/9413b19f/Alex-Meret,alex-meret,9413b19f,Napoli,Serie A
Noa Lang,https://fbref.com/en/players/8e034340/Noa-Lang,noa-lang,8e034340,Napoli,Serie A
Luis Henrique,https://fbref.com/en/players/f36d5624/Luis-Henrique,luis-henrique,f36d5624,Inter,Serie A
Pervis Estupiñán,https://fbref.com/en/players/d38fdf53/Pervis-Estupinan,pervis-estupinan,d38fdf53,Milan,Serie A
Samuele Ricci,https://fbref.com/en/players/9823be92/Samuele-Ricci,samuele-ricci,9823be92,Milan,Serie A
Santiago Giménez,https://fbref.com/en/players/37337aea/Santiago-Gimenez,santiago-gimenez,37337aea,Milan,Serie A
Francisco Conceição,https://fbref.com/en/players/5ef3d210/Francisco-Conceicao,francisco-conceicao,5ef3d210,Juventus,Serie A
Nicolás González,https://fbref.com/en/players/2374aaca/Nicolas-Gonzalez,nicolas-gonzalez,2374aaca,Juventus,Serie A
Fikayo Tomori,https://fbref.com/en/players/7edfbb8a/Fikayo-Tomori,fikayo-tomori,7edfbb8a,Milan,Serie A
Andrea Cambiaso,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,andrea-cambiaso,247ed022,Juventus,Serie A
Lloyd Kelly,https://fbref.com/en/players/f31def1e/Lloyd-Kelly,lloyd-kelly,f31def1e,Juventus,Serie A
Andrea Pinamonti,https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti,andrea-pinamonti,08aa9cd1,Sassuolo,Serie A
Mile Svilar,https://fbref.com/en/players/bcf5058a/Mile-Svilar,mile-svilar,bcf5058a,Roma,Serie A
Miguel Gutiérrez,https://fbref.com/en/players/7e98cff1/Miguel-Gutierrez,miguel-gutierrez,7e98cff1,Napoli,Serie A
Nuno Tavares,https://fbref.com/en/players/a65c844b/Nuno-Tavares,nuno-tavares,a65c844b,Lazio,Serie A
Samuel Gigot,https://fbref.com/en/players/41eebdf5/Samuel-Gigot,samuel-gigot,41eebdf5,Lazio,Serie A
Ciro Immobile,https://fbref.com/en/players/4431aed2/Ciro-Immobile,ciro-immobile,4431aed2,Bologna,Serie A
Riccardo Orsolini,https://fbref.com/en/players/e14ec482/Riccardo-Orsolini,riccardo-orsolini,e14ec482,Bologna,Serie A
Robin Gosens,https://fbref.com/en/players/2d970560/Robin-Gosens,robin-gosens,2d970560,Fiorentina,Serie A
Ivan Provedel,https://fbref.com/en/players/277da414/Ivan-Provedel,ivan-provedel,277da414,Lazio,Serie A
Matías Vecino,https://fbref.com/en/players/44ac04e9/Matias-Vecino,matias-vecino,44ac04e9,Lazio,Serie A
Nicolò Rovella,https://fbref.com/en/players/e58cbfd5/Nicolo-Rovella,nicolo-rovella,e58cbfd5,Lazio,Serie A
Mario Pašalić,https://fbref.com/en/players/e599253a/Mario-Pasalic,mario-pasalic,e599253a,Atalanta,Serie A
