player_id,slug,team_name_short_new,tournament_name_new,role_new,minutes_hint,starter_hint
e46012d4,kevin-de-bruyne,Napoli,Serie A,C,,
ce50fd99,jonathan-david,Juventus,Serie A,A,,
db092d3b,ismael-bennacer,Milan,Serie A,,,
6025fab1,luka-modric,Milan,Serie A,C,,
48b3dd60,arthur-melo,Juventus,Serie A,,,
9f7c837d,ben-godfrey,Atalanta,Serie A,,,
8e034340,noa-lang,Napoli,Serie A,A,,
f36d5624,luis-henrique,Inter,Serie A,,,
d38fdf53,pervis-estupinan,Milan,Serie A,D,,
9823be92,samuele-ricci,Milan,Serie A,C,,
08aa9cd1,andrea-pinamonti,Sassuolo,Serie A,A,,
4431aed2,ciro-immobile,Bologna,Serie A,A,,
83c06f3a,lorenzo-lucca,Napoli,Serie A,A,,
64629ba4,ange-yoan-bonny,Inter,Serie A,A,,
14b8fcdf,daniele-rugani,Juventus,Serie A,D,,
82a39b66,joao-mario,Juventus,Serie A,D,,
b2336681,tiago-djalo,Juventus,Serie A,,,
3bb7f478,edin-dzeko,Fiorentina,Serie A,A,,
4596da74,evan-ferguson,Roma,Serie A,C,,
a40819d9,marash-kumbulla,Roma,Serie A,D,,
de13cee5,sam-beukema,Napoli,Serie A,D,,
b1cd37e6,filip-kostic,Juventus,Serie A,C,,
58e933d2,christian-kouame,Fiorentina,Serie A,,,
9fa26bc2,vanja-milinkovic-savic,Napoli,Serie A,P,,
37dc1a48,jesper-lindstrm,Napoli,Serie A,,,
b79858d5,albert-gumundsson,Fiorentina,Serie A,C,,
a8567629,mitchel-bakker,Atalanta,Serie A,,,
d705ba44,andrea-belotti,Como,Serie A,,,
01efac19,antonin-barak,Fiorentina,Serie A,,,
a4948e67,mbala-nzola,Fiorentina,Serie A,,,
ba3d3bea,danilo-cataldi,Lazio,Serie A,C,,
17e1261b,neil-el-aynaoui,Roma,Serie A,C,,
23fb46ea,petar-sucic,Inter,Serie A,C,,
3aca6420,tajon-buchanan,Inter,Serie A,,,
707b98f1,valentin-carboni,Inter,Serie A,,,
dc61b402,luca-mazzitelli,Cagliari,Serie A,C,,
335fa267,sergi-roberto,Como,Serie A,C,,
06b08c45,jacopo-fazzini,Fiorentina,Serie A,C,,
b7a5bc86,mohamed-fares,Lazio,Serie A,,,
c391a179,michael-folorunsho,Cagliari,Serie A,C,,
42eaa028,jonathan-ikone,Fiorentina,Serie A,,,
d4a2533d,josip-brekalo,Fiorentina,Serie A,,,
5715bb71,gustav-isaksen,Lazio,Serie A,C,,
47c609d5,el-bilal-toure,Atalanta,Serie A,A,,
a43e4f9c,nicolas-valentini,Hellas Verona,Serie A,D,,
fb77bfef,kevin-bonifazi,Bologna,Serie A,,,
ae94a6c5,edoardo-bove,Roma,Serie A,,,
64e6778a,luca-marianucci,Napoli,Serie A,D,,
041e5f1f,francesco-pio-esposito,Inter,Serie A,,,
34693494,fabio-miretti,Juventus,Serie A,C,,
649b01d8,emil-audero,Cremonese,Serie A,P,,
2b8360f1,cyril-ngonge,Torino,Serie A,A,,
928a4a61,jens-cajuste,Napoli,Serie A,,,
b6a1cdf9,matteo-cancellieri,Lazio,Serie A,A,,
5cbb5ad6,filippo-terracciano,Milan,Serie A,P,,
e1b0a70d,pietro-terracciano,Milan,Serie A,P,,
1956a64b,francesco-camarda,Lecce,Serie A,A,,
97d7afbd,elia-caprile,Cagliari,Serie A,P,,
09538fdb,kevin-lasagna,Hellas Verona,Serie A,,,
ca607d59,noah-okafor,Milan,Serie A,A,,
ab472696,agustin-alvarez,Sassuolo,Serie A,A,,
7d3cbc67,mehdi-leris,Pisa,Serie A,C,,
75374ee7,jens-odgaard,Bologna,Serie A,C,,
94816803,riccardo-sottil,Fiorentina,Serie A,,,
0da5076f,albert-grnbk,Genoa,Serie A,C,,
c55967eb,mikael-ellertsson,Genoa,Serie A,C,,
4c8845f7,youssef-maleh,Lecce,Serie A,C,,
9ba7b4fa,enzo-ebosse,Udinese,Serie A,D,,
7952d0c2,jesper-karlsson,Bologna,Serie A,A,,
26777636,yacine-adli,Milan,Serie A,,,
1079c685,alberto-cerri,Como,Serie A,,,
7f609bfc,stefan-posch,Bologna,Serie A,D,,
c83c203f,emil-bohinen,Genoa,Serie A,,,
3fecdc45,nik-prelec,Cagliari,Serie A,,,
132f161f,vakoun-issouf-bayo,Udinese,Serie A,A,,
8ae7d0ec,assane-diao,Como,Serie A,A,,
d3e93b43,nicholas-bonfanti,Pisa,Serie A,D,,
6841f107,alessandro-vogliacco,Genoa,Serie A,D,,
04df29a5,lorenzo-colombo,Genoa,Serie A,A,,
0847b5a5,mattia-aramu,Genoa,Serie A,,,
3b387cc7,gianluca-gaetano,Cagliari,Serie A,C,,
7f5a2470,guven-yalcn,Genoa,Serie A,,,
78f13530,ola-solbakken,Roma,Serie A,,,
0dfce079,boris-radunovic,Cagliari,Serie A,P,,
bf168004,stefano-turati,Sassuolo,Serie A,P,,
8f5cdf66,oliver-abildgaard,Como,Serie A,,,
cf043a33,ebrima-darboe,Roma,Serie A,,,
53210e42,alieu-fadera,Sassuolo,Serie A,C,,
f71ad8cb,charles-pickel,Cremonese,Serie A,C,,
d125f22f,david-okereke,Cremonese,Serie A,A,,
5674bd8d,facundo-gonzalez,Juventus,Serie A,A,,
04b40c58,nicolo-bertola,Udinese,Serie A,D,,
4f9c2d8c,rui-modesto,Udinese,Serie A,D,,
ce1a6c7e,antonio-raimondo,Bologna,Serie A,,,
3ad34015,ebenezer-akinsanmiro,Pisa,Serie A,C,,
00823e9a,cesar-falletti,Cremonese,Serie A,,,
dd7febd8,leonardo-sernicola,Cremonese,Serie A,D,,
3b12b11f,alessandro-zanoli,Napoli,Serie A,D,,
7ff93107,sebastiano-esposito,Inter,Serie A,A,,
afbf187b,zinho-vanheusden,Inter,Serie A,,,
5f2d3485,laurs-skjellerup,Sassuolo,Serie A,A,,
75438a9a,mattia-viti,Fiorentina,Serie A,D,,
d3225ad1,alessandro-marcandalli,Genoa,Serie A,D,,
47f2af81,marco-bleve,Lecce,Serie A,,,
645dffbf,saba-sazonov,Torino,Serie A,,,
af104654,oliver-christensen,Fiorentina,Serie A,P,,
c8ad0857,luka-lochoshvili,Cremonese,Serie A,,,
faed84db,uros-racic,Sassuolo,Serie A,,,
ea02beaf,remi-oudin,Lecce,Serie A,,,
232b3da4,stefan-mitrovic,Hellas Verona,Serie A,,,
78e6bf2c,brian-bayeye,Torino,Serie A,,,
2d9d9e42,kacper-urbanski,Bologna,Serie A,,,
97022551,alex-valle,Como,Serie A,D,,
e1a873eb,henrik-meister,Pisa,Serie A,A,,
