slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price,prezzo_medio
romelu-lukaku,A,Napoli,20.0,20.0,19.0,1,7.04,6.31,9.43,4.64,0.0,21.08,23.0
lautaro-martinez,A,Inter,32.0,32.0,27.0,1,7.76,6.32,18.44,3.9,0.0,170.42,152.0
jonathan-david,A,Juventus,30.0,30.0,24.0,1,7.56,6.21,14.51,5.87,0.0,129.6,141.0
moise-kean,A,Fiorentina,32.0,32.0,27.0,0,7.59,6.37,14.04,4.62,0.0,153.96,144.0
gianluca-scamacca,A,Atalanta,28.0,28.0,18.0,0,7.29,6.45,12.47,6.37,0.0,73.46,75.0
marcus-thuram,A,Inter,29.0,29.0,24.0,1,6.99,6.21,10.9,3.01,0.0,127.42,143.0
domenico-berardi,A,Sassuolo,29.0,29.0,27.0,1,7.43,6.44,7.68,7.18,0.0,74.3,65.0
paulo-dybala,A,Roma,27.0,27.0,23.0,1,7.29,6.41,10.31,5.47,0.0,81.52,61.0
evan-ferguson,A,Roma,25.0,25.0,20.0,0,7.51,6.36,10.7,2.42,0.0,70.65,47.0
rafael-leao,A,Milan,30.0,30.0,24.0,1,7.44,6.43,12.81,9.52,0.0,94.06,105.0
duvan-zapata,A,Torino,28.0,28.0,26.0,1,7.29,6.33,11.12,3.07,0.0,56.2,37.5
ademola-lookman,A,Atalanta,27.0,27.0,18.0,0,7.03,6.26,9.71,4.42,0.0,20.83,30.0
kenan-yldz,A,Juventus,30.0,30.0,26.0,0,7.03,6.48,8.39,6.18,0.0,85.97,96.0
valentin-castellanos,A,Lazio,32.0,32.0,25.0,1,6.59,5.96,9.8,3.57,0.0,75.51,85.0
dusan-vlahovic,A,Juventus,26.0,26.0,21.0,1,7.01,6.04,9.86,1.73,0.0,46.67,32.0
santiago-gimenez,A,Milan,30.0,30.0,24.0,0,7.48,6.3,13.01,3.25,0.0,83.26,50.0
giovanni-simeone,A,Torino,31.0,31.0,26.0,1,6.63,5.96,10.46,2.37,0.0,22.97,10.5
riccardo-orsolini,C,Bologna,28.0,28.0,20.0,1,7.27,6.39,12.0,4.66,0.0,73.3,74.0
armand-lauriente,A,Sassuolo,30.0,30.0,27.0,1,6.91,6.35,6.92,6.48,0.0,31.74,15.0
noa-lang,A,Napoli,22.0,22.0,17.0,0,6.76,6.3,7.01,6.15,0.0,38.44,12.0
charles-de-ketelaere,A,Atalanta,32.0,32.0,23.0,1,6.76,6.2,7.48,7.21,0.0,61.3,41.0
ciro-immobile,A,Bologna,26.0,26.0,22.0,1,7.41,6.1,9.81,2.78,0.0,51.33,11.0
che-adams,A,Torino,33.0,33.0,25.0,1,6.38,5.82,9.49,2.8,0.0,43.09,16.0
alvaro-morata,A,Como,24.0,24.0,18.0,0,7.05,6.14,10.8,2.64,0.0,42.61,27.0
artem-dovbyk,A,Roma,23.0,23.0,17.0,0,6.98,6.23,9.08,2.4,0.0,61.78,30.0
mattia-zaccagni,C,Lazio,35.0,35.0,28.0,1,6.94,6.52,7.25,5.57,0.0,60.1,74.0
nico-paz,C,Como,32.0,32.0,28.0,0,7.39,6.42,8.94,7.36,0.0,62.69,67.0
christian-pulisic,C,Milan,35.0,35.0,28.0,1,7.11,6.45,9.3,6.89,0.0,70.69,77.0
kevin-de-bruyne,C,Napoli,28.0,28.0,25.0,1,7.07,6.49,4.08,8.81,0.0,53.19,68.0
roberto-piccoli,A,Fiorentina,20.0,20.0,17.0,0,7.02,6.11,7.07,3.86,0.0,34.4,14.0
scott-mctominay,C,Napoli,32.0,32.0,25.0,1,6.63,6.37,6.4,5.07,0.0,62.82,82.0
andrea-pinamonti,A,Sassuolo,29.0,29.0,24.0,1,6.38,5.95,7.83,1.24,0.0,40.86,30.0
franco-vazquez,C,Cremonese,27.0,27.0,24.0,1,6.42,5.98,5.02,6.31,0.0,15.98,9.0
hakan-calhanoglu,C,Inter,32.0,32.0,29.0,1,6.84,6.38,6.51,6.42,0.0,39.65,45.0
