slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price
rasmus-hojlund,A,Napoli,27.0,27.0,20.0,1,6.66949480723948,5.997094413058052,10.734694316643584,4.91722806708181,0.0,102.3
lois-openda,A,Juventus,25.0,25.0,20.0,0,6.830514722775799,6.365802048904825,8.835989437735003,2.645171523593372,0.0,71.5
christopher-nkunku,A,Milan,25.0,25.0,21.0,0,6.793998714820059,6.196984177416692,8.331175211012038,4.081486743316221,0.0,49.1
nikola-stulic,A,Lecce,25.0,25.0,21.0,0,6.56179437963854,6.046973681789493,9.943479086965914,3.2370115296365203,0.0,40.3
jamie-vardy,A,Cremonese,14.0,14.0,10.0,0,6.775253772153879,6.225268565173021,9.411639439700158,3.817344420902499,0.0,31.0
gift-orban,A,Lyon,21.0,21.0,10.0,0,6.909015415899937,5.9777971232302285,8.52671151170704,1.1129022148659349,0.0,21.6
calvin-stengs,A,Pisa,25.0,25.0,19.0,0,6.366783129371181,5.992909565594684,5.087301264378278,2.229107996229025,0.0,21.6
adam-buksa,A,Udinese,23.0,23.0,18.0,0,6.372962372796784,5.9442319582851,4.619105912197182,1.0955096744509665,0.0,22.4
andrea-belotti,A,Cagliari,19.0,19.0,16.0,0,6.427363250418851,6.057666923658493,4.306950770095678,1.0635658331141116,0.0,17.6
walid-cheddira,A,Sassuolo,12.0,12.0,9.0,1,6.218076893627804,6.034593012730104,3.59230277607456,2.455989965093728,0.0,13.4
idrissa-gueye,A,Udinese,9.0,9.0,5.0,0,6.277616284112263,5.963533602114602,2.583939802585198,0.9947450632326564,0.0,4.2
giuseppe-ambrosino,A,Napoli,7.0,7.0,1.0,0,6.134903626809212,5.967537207535719,0.9847106280087534,0.6347585919167158,0.0,1.3
antonio-vergara,A,Napoli,3.0,3.0,0.0,0,6.0,6.0,0.3990052715856675,0.2593797600648409,0.0,1.0
faris-pemi-moumbagna,A,Cremonese,5.0,5.0,2.0,0,6.26475533795104,6.02767462323231,1.245590101995924,0.4890715540800877,0.0,1.0
adrien-rabiot,C,Milan,27.0,27.0,24.0,1,6.622003534304048,6.139027729725476,6.405320131419812,4.08265941606282,0.0,21.0
edon-zhegrova,C,Juventus,24.0,24.0,18.0,0,6.219034900082777,6.036530859968301,3.262081130684336,4.725162139658446,0.0,21.5
elif-elmas,C,Napoli,21.0,21.0,9.0,0,6.289618784106407,6.089286067564784,3.1058832837899506,1.7749036450592617,0.0,7.8
