name,link_player_page,slug
Laurs Skjellerup,https://fbref.com/en/players/5f2d3485/Laurs-Skjellerup,laurs-skjellerup
Saná Fernandes,https://fbref.com/en/players/f1253f46/Sana-Fernandes,sana-fernandes
Antonio Vergara,https://fbref.com/en/players/848c17ed/Antonio-Vergara,antonio-vergara
Lorenzo Moretti,https://fbref.com/en/players/9fb22371/Lorenzo-Moretti,lorenzo-moretti
Luca D'Andrea,https://fbref.com/en/players/f778fe3f/Luca-DAndrea,luca-dandrea
Daniel Mikolajewski,https://fbref.com/en/players/e72fa318/Daniel-Mikolajewski,daniel-mikolajewski
Giuseppe Ambrosino,https://fbref.com/en/players/282947c7/Giuseppe-Ambrosino,giuseppe-ambrosino
Lorenzo Torriani,https://fbref.com/en/players/6dd75985/Lorenzo-Torriani,lorenzo-torriani
Peter Kovacik,https://fbref.com/en/players/64c8a83b/Peter-Kovacik,peter-kovacik
Lorenzo Amatucci,https://fbref.com/en/players/13b9e2fb/Lorenzo-Amatucci,lorenzo-amatucci
Rareș Burnete,https://fbref.com/en/players/7c4b4e36/Rares-Catalin-Burnete,rares-burnete
Tobias Slotsager,https://fbref.com/en/players/a20b6f5e/Tobias-Slotsager,tobias-slotsager
Rachid Kouda,https://fbref.com/en/players/8a9ff091/Rachid-Kouda,rachid-kouda
Yeferson Paz,https://fbref.com/en/players/b1d7dba8/Yeferson-Paz,yeferson-paz
David Pejičić,https://fbref.com/en/players/c1a7671b/David-Pejicic,david-pejicic
Iván Azón,https://fbref.com/en/players/9b2779f5/Ivan-Azon,ivan-azon
Tarik Muharemovic,https://fbref.com/en/players/426dda23/Tarik-Muharemovic,tarik-muharemovic
Tommaso Corazza,https://fbref.com/en/players/c1b9b13c/Tommaso-Corazza,tommaso-corazza
Dailon Rocha Livramento,https://fbref.com/en/players/c115db1e/Dailon-Livramento,dailon-rocha-livramento
Konan N’Dri,https://fbref.com/en/players/17329380/Konan-Ndri,konan-ndri
Edoardo Pieragnolo,https://fbref.com/en/players/ae67e0c4/Edoardo-Pieragnolo,edoardo-pieragnolo
Luis Hasa,https://fbref.com/en/players/ab4f1aa9/Luis-Hasa,luis-hasa
Alexander Lind,https://fbref.com/en/players/a67c0e3a/Alexander-Lind,alexander-lind
Francesco Folino,https://fbref.com/en/players/051104b5/Francesco-Folino,francesco-folino
Stefan Mitrović,https://fbref.com/en/players/232b3da4/Stefan-Mitrovic,stefan-mitrovic
Brian Bayeye,https://fbref.com/en/players/78e6bf2c/Brian-Bayeye,brian-bayeye
Alieu Njie,https://fbref.com/en/players/59081fad/Momodou-Lion-Njie,alieu-njie
Kialonda Gaspar,https://fbref.com/en/players/34e4dc3b/Kialonda,kialonda-gaspar
Tommaso Barbieri,https://fbref.com/en/players/6f1d7aa8/Tommaso-Barbieri,tommaso-barbieri
Marco Nasti,https://fbref.com/en/players/555acb58/Marco-Nasti,marco-nasti
Mathias Fjørtoft Løvik,https://fbref.com/en/players/b18b4651/Magnus-Fjortoft-Lovik,mathias-fjrtoft-lvik
Álex Jiménez,https://fbref.com/en/players/faa13947/Alejandro-Jimenez,alex-jimenez
Facundo González,https://fbref.com/en/players/5674bd8d/Facundo-Gonzalez,facundo-gonzalez
Francesco Pio Esposito,https://fbref.com/en/players/041e5f1f/Francesco-Esposito,francesco-pio-esposito
Wesley,https://fbref.com/en/players/f2c49c79/Wesley,wesley
Ebenezer Akinsanmiro,https://fbref.com/en/players/3ad34015/Ebenezer-Akinsanmiro,ebenezer-akinsanmiro
Oliver Provstgaard,https://fbref.com/en/players/e97adead/Oliver-Nielsen,oliver-provstgaard
Albert Grønbæk,https://fbref.com/en/players/0da5076f/Albert-Gronbaek,albert-grnbk
João Mário,https://fbref.com/en/players/82a39b66/Joao-Mario-Lopes,joao-mario
Petar Sučić,https://fbref.com/en/players/23fb46ea/Petar-Sucic,petar-sucic
Max Aarons,https://fbref.com/en/players/774cf58b/Max-Aarons,max-aarons
Max Aarons,https://fbref.com/en/players/774cf58b/Max-Aarons,max-aarons
Rodrigo Abajas,https://fbref.com/en/players/69c99fce/Rodrigo-Abajas,rodrigo-abajas
James Abankwah,https://fbref.com/en/players/4b7a9fcc/James-Abankwah,james-abankwah
Keyliane Abdallah,https://fbref.com/en/players/7310786d/Keyliane-Abdallah,keyliane-abdallah
Yunis Abdelhamid,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,yunis-abdelhamid
Himad Abdelli,https://fbref.com/en/players/7978cbf0/Himad-Abdelli,himad-abdelli
Mohamed Abdelmoneim,https://fbref.com/en/players/bff15d74/Mohamed-Abdelmoneim,mohamed-abdelmoneim
Ali Abdi,https://fbref.com/en/players/ad7cdb35/Ali-Abdi,ali-abdi
Saud Abdulhamid,https://fbref.com/en/players/caa254e4/Saud-Abdulhamid,saud-abdulhamid
Abel,https://fbref.com/en/players/40b6bd38/Abel,abel
Nabil Aberdin,https://fbref.com/en/players/cadfa7d1/Nabil-Aberdin,nabil-aberdin
Oliver Abildgaard,https://fbref.com/en/players/8f5cdf66/Oliver-Abildgaard,oliver-abildgaard
Matthis Abline,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,matthis-abline
Abner,https://fbref.com/en/players/7f9c5d2d/Abner,abner
