player_id,name,team_name_short,season,tournament_name,tournament_country,role,presenze,assist,mv,fmv,gf,gs,rp,rc,r_plus,r_minus,amm,esp,au,starts_eleven,min_playing_time,injured,total_duels_won_percentage,total_duels_won,possession_lost,total_shots,shots_on_target,goal_conversion_percentage,free_kick_shots,penalty_won,successful_dribbles,successful_dribbles_percentage,touches,key_passes,accurate_passes_percentage,total_passes,accurate_passes,accurate_crosses,total_cross,accurate_final_third_passes,accurate_opposition_half_passes,tackles,tackles_won_percentage,tackles_won,interceptions,fouls,error_lead_to_goal,penalty_conceded,clean_sheet,saves,penalty_faced,big_chances_created,pass_to_assist,accurate_chipped_passes,accurate_long_balls,accurate_long_balls_percentage,aerial_duels_won,aerial_duels_won_percentage,aerial_lost,attempt_penalty_miss,attempt_penalty_target,big_chances_create,blocked_shots,clearances,crosses_not_claimed,dispossessed,duel_lost,error_lead_to_shot,expected_goals,hit_woodwork,inaccurate_passes,offsides,penalty_conversion,possession_won_att_third,punches,scoring_frequency,shot_from_set_piece,shots_off_target,successful_runs_out,total_attempt_assist,total_chipped_passes,total_long_balls,total_opposition_half_passes,total_own_half_passes,totw_appearances,was_fouled,last_active_year,team_id,aff_index,inf_index,tit_index,spesa_media_altri,fvm,quotazione,date_of_birth,height,jersey_number,preferred_foot,country,slug,link,image
89ac64a6,MANUEL AKANJI,Basel,s_15_16,Super Lg,SUI,D,8,0,532,5.9,0,,,0,,,2,0,,5,532,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,8,,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
89ac64a6,MANUEL AKANJI,Basel,s_16_17,Super Lg,SUI,D,15,1,1324,14.7,4,,,0,,,1,0,,14,1324,,,0,0,0,6,,,0,,,,,,,,,0,,,,,0,0,,,0,,,,,0,,,,,,,,0,,,,,,0,,,,,0,0,,,,,-6,,,,,,,15,0,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
89ac64a6,MANUEL AKANJI,Basel,s_17_18,Super Lg,SUI,D,19,0,1632,18.1,1,,,0,,,2,0,,18,1632,,,0,0,0,2,,,0,,,,,,,,,0,,,,,0,0,,,0,,,,,0,,,,,,,,0,,,,,,0,,,,,0,0,,,,,-2,,,,,,,19,0,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
89ac64a6,MANUEL AKANJI,Dortmund,s_17_18,Bundesliga,GER,D,11,0,904,10.0,0,,,0,,,2,0,,10,904,,76.92,30,10,5,2,0.00,0,0,4,100.0,714,1,85.3,618,527,,1,43,4,22,68.2,15,7,9,,0,,,,1,1,0,43,55.8,14,48.3,15,,0,7,,,,,9,,0.2,,91,0,0,,,0.00,,3,,7,,77,,,11,4,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
89ac64a6,MANUEL AKANJI,Dortmund,s_18_19,Bundesliga,GER,D,25,0,2205,24.5,1,,,0,,,1,0,,25,2205,,61.11,33,15,7,2,14.29,0,0,8,66.7,2068,6,92.8,1855,1722,,2,94,3,29,65.5,19,27,13,,0,,,,4,2,2,247,81.5,44,54.3,37,,0,18,,,,,21,,0.5,,133,0,0,,,0.14,,5,,18,,303,,,25,17,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
89ac64a6,MANUEL AKANJI,Dortmund,s_19_20,Bundesliga,GER,D,29,1,2309,25.7,0,,,0,,,2,0,,25,2309,,56.90,33,21,8,2,0.00,0,0,6,85.7,2148,3,90.6,1948,1764,,2,96,2,38,55.3,21,30,11,,0,,,,5,5,1,151,70.9,31,48.4,33,,0,13,,,,,25,,0.4,,184,0,0,,,0.00,,6,,13,,213,,,29,23,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
89ac64a6,MANUEL AKANJI,Dortmund,s_20_21,Bundesliga,GER,D,28,0,2350,26.1,2,,,0,,,4,0,,26,2350,,56.94,41,18,19,4,10.53,0,1,9,90.0,2358,3,91.8,2137,1961,,2,151,6,41,53.7,22,49,22,,1,,,,2,2,0,216,79.1,46,60.5,30,,0,22,,,,,31,,1.7,,176,0,0,,,0.11,,15,,22,,273,,,28,18,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
89ac64a6,MANUEL AKANJI,Dortmund,s_21_22,Bundesliga,GER,D,26,0,2261,25.1,1,,,0,,,3,0,,25,2261,,69.23,45,9,13,3,7.69,1,0,8,88.9,2196,2,90.4,2013,1819,,3,122,2,33,69.7,23,35,19,,0,,,,1,1,0,235,74.8,51,59.3,35,,0,16,,,,,20,,1.9,,194,1,0,,,0.08,,10,,16,,314,,,26,24,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
89ac64a6,MANUEL AKANJI,Manchester City,s_22_23,Premier League,ENG,D,29,1,2287,25.4,0,,,0,,,2,0,,24,2287,,66.67,48,15,15,2,0.00,0,0,6,50.0,2231,7,93.0,2056,1912,,6,140,3,36,69.4,25,16,24,,0,,,,0,0,1,117,70.5,23,40.4,34,,0,23,,,,,24,,1.3,,144,0,0,,,0.00,,13,,23,,166,,,29,12,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
89ac64a6,MANUEL AKANJI,Manchester City,s_23_24,Premier League,ENG,D,30,0,2511,27.9,2,,,0,,,4,1,,28,2511,,61.73,50,23,15,5,13.33,0,0,2,50.0,2544,13,93.4,2334,2180,,9,214,15,42,66.7,28,23,17,,0,,,,4,4,2,126,77.3,27,50.0,27,,0,55,,,,,31,,1.9,,154,0,0,,,0.13,,10,,55,,163,,,30,19,,,,,,,,,1995-07-19,187,,right,switzerland,manuel-akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/req/202302030/images/headshots/89ac64a6_2022.jpg
