name,link,slug,player_id,team,tournament_name_new
Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,manuel-akanji,89ac64a6,Inter,Serie A
Almoatasem Al Musrati,https://fbref.com/en/players/cd6a1a59/Almoatasem-Al-Musrati,almoatasem-al-musrati,cd6a1a59,Verona,Serie A
Raúl Albiol,https://fbref.com/en/players/4bd414c1/Raul-Albiol,raul-albiol,4bd414c1,Pisa,Serie A
Giuseppe Ambrosino,https://fbref.com/en/players/282947c7/Giuseppe-Ambrosino,giuseppe-ambrosino,282947c7,Napoli,Serie A
Armel Bella Kotchap,https://fbref.com/en/players/a39d11bc/Armel-Bella-Kotchap,armel-bella-kotchap,a39d11bc,Verona,Serie A
Andrea Belotti,https://fbref.com/en/players/d705ba44/Andrea-Belotti,andrea-belotti,d705ba44,Cagliari,Serie A
Nicholas Bonfanti,https://fbref.com/en/players/d3e93b43/Nicholas-Bonfanti,nicholas-bonfanti,d3e93b43,Pisa,Serie A
Sascha Britschgi,https://fbref.com/en/players/a80fd995/Sascha-Britschgi,sascha-britschgi,a80fd995,Parma,Serie A
Adam Buksa,https://fbref.com/en/players/3b676989/Adam-Buksa,adam-buksa,3b676989,Udinese,Serie A
Nikola Čavlina,https://fbref.com/en/players/a074eda6/Nikola-Cavlina,nikola-cavlina,a074eda6,Como,Serie A
Walid Cheddira,https://fbref.com/en/players/0545a08e/Walid-Cheddira,walid-cheddira,0545a08e,Sassuolo,Serie A
Francesco Coppola,https://fbref.com/en/players/387335e7/Francesco-Coppola,francesco-coppola,387335e7,Pisa,Serie A
Maxwel Cornet,https://fbref.com/en/players/beb391dd/Maxwel-Cornet,maxwel-cornet,beb391dd,Genoa,Serie A
Soumaïla Coulibaly,https://fbref.com/en/players/9dff291c/Soumaila-Coulibaly,soumaila-coulibaly,9dff291c,Sassuolo,Serie A
Ben Cremaschi,https://fbref.com/en/players/03a446a2/Ben-Cremaschi,ben-cremaschi,03a446a2,Parma,Serie A
Diego Carlos,https://fbref.com/en/players/b4a014b1/Diego-Carlos,diego-carlos,b4a014b1,Como,Serie A
Elif Elmas,https://fbref.com/en/players/cf007308/Elif-Elmas,elif-elmas,cf007308,Napoli,Serie A
Tomás Esteves,https://fbref.com/en/players/20ffe5b9/Tomas-Esteves,tomas-esteves,20ffe5b9,Pisa,Serie A
Mikayil Ngor Faye,https://fbref.com/en/players/b37ae816/Mikayil-Ngor-Faye,mikayil-ngor-faye,b37ae816,Cremonese,Serie A
Alessio Furlanetto,https://fbref.com/en/players/95d9f4dd/Alessio-Furlanetto,alessio-furlanetto,95d9f4dd,Lazio,Serie A
Idrissa Gueye,https://fbref.com/en/players/bfecfbde/Idrissa-Gueye,idrissa-gueye,bfecfbde,Udinese,Serie A
Rasmus Højlund,https://fbref.com/en/players/491a433d/Rasmus-Hojlund,rasmus-hojlund,491a433d,Napoli,Serie A
Tariq Lamptey,https://fbref.com/en/players/f4e433d4/Tariq-Lamptey,tariq-lamptey,f4e433d4,Fiorentina,Serie A
Elia Caprile,https://fbref.com/en/players/97d7afbd/Elia-Caprile,elia-caprile,97d7afbd,Cagliari,Serie A
Lorran,https://fbref.com/en/players/f87b8eed/Lorran,lorran,f87b8eed,Pisa,Serie A
Jeremy Mbambi,https://fbref.com/en/players/1bc22065/Jeremy-Mbambi,jeremy-mbambi,1bc22065,Pisa,Serie A
Faris Pemi Moumbagna,https://fbref.com/en/players/58aae0a9/Faris-Pemi-Moumbagna,faris-pemi-moumbagna,58aae0a9,Cremonese,Serie A
Hans Nicolussi Caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,hans-nicolussi-caviglia,b136c945,Fiorentina,Serie A
Niels Nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,niels-nkounkou,f5b281e7,Torino,Serie A
Christopher Nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,christopher-nkunku,7c56da38,Milan,Serie A
Alessandro Nunziante,https://fbref.com/en/players/12438e0a/Alessandro-Nunziante,alessandro-nunziante,12438e0a,Udinese,Serie A
